section,part,as_is,car_price,van_suv_truck_price,core
ENGINE,AIR PUMP,false,9.43,9.43,
ENGINE,BARE BLOCK,true,72.65,72.65,
ENGINE,BIG BLOCK ENGINE,false,376.42,376.42,50.00
ENGINE,BIG BLOCK SHORT BLOCK,true,219.81,219.81,
ENGINE,CAM ANGLE SENSOR,false,33.02,33.02,
ENGINE,CAM SENSOR,false,9.43,9.43,
ENGINE,CRANK SHAFT,true,17.92,17.92,
ENGINE,DIESEL BARE BLOCK,true,169.81,169.81,
ENGINE,DIESEL SHORT BLOCK,true,119.81,119.81,
ENGINE,DIESEL ENGINE NO ACC.,false,376.42,376.42,150.00
ENGINE,DIESEL TURBO,false,89.43,89.43,
ENGINE,DIESEL VACUUM PUMP,false,32.07,32.07,
ENGINE,DIPSTICK W/TUBE,false,9.43,9.43,
ENGINE,DIPSTICK,false,0.94,0.94,
ENGINE,ENGINE COVER,false,9.43,9.43,
ENGINE,ENGINE COOLER,false,47.72,47.72,
ENGINE,ENGINE COOLER TUBE,false,9.43,9.43,
ENGINE,ENGINE MOUNT,false,4.72,4.72,
ENGINE,ENGINE NO ACC.,false,89.43,89.43,
ENGINE,HARMONIC BALANCER,false,14.71,14.71,
ENGINE,HEAD ALUMINUM,false,58.65,58.65,12.00
ENGINE,HEAD STEEL,false,55.06,55.06,
ENGINE,IMPORT ENGINE,false,228.00,228.00,50.00
ENGINE,INTAKE MANIFOLD,false,27.36,27.36,
ENGINE,INTAKE RUNNER,false,9.43,9.43,
ENGINE,LIFTER,false,0.94,0.94,
ENGINE,NEW DOMESTIC ENGINE,false,228.00,228.00,
ENGINE,OIL CAP,false,0.94,0.94,
ENGINE,OIL COOLER,false,19.81,19.81,
ENGINE,OIL FILTER HOUSING,false,13.21,13.21,
ENGINE,OIL PAN ALUMINUM,false,31.13,31.13,
ENGINE,OIL PAN STEEL,false,11.32,11.32,
ENGINE,OIL PUMP,false,8.49,8.49,
ENGINE,OIL PUMP SHAFT,false,1.89,1.89,
ENGINE,PCV VALVE,false,1.89,1.89,
ENGINE,PISTON,false,8.49,8.49,
ENGINE,PUSH ROD,true,0.94,0.94,
ENGINE,PULLY,false,9.43,9.43,
ENGINE,ROCKER ARM,true,1.89,1.89,
ENGINE,SHORT BLOCK,true,47.51,47.51,
ENGINE,SMALL THERM HOUSING,false,4.72,4.72,
ENGINE,SMOG PUMP,false,8.49,8.49,
ENGINE,THERM HOUSING,false,5.66,5.66,
ENGINE,TIMING CHAIN / BELT,false,8.49,8.49,
ENGINE,TIMING COVER,false,17.92,17.92,
ENGINE,TIMING GEARS,false,4.72,4.72,
ENGINE,TURBO SUPER CHAG,false,89.43,89.43,
ENGINE,VACUUM PUMP,false,32.07,32.07,
ENGINE,VALVE CVR ALUM,false,57.55,57.55,
ENGINE,VALVE CVR STEEL,false,8.49,8.49,
ENGINE,VVT SOLENOID,false,14.15,14.15,
EXHAUST,EGR TUBE,false,4.72,4.72,
EXHAUST,EGR VALVE,false,9.43,9.43,
EXHAUST,EXHAUST MANIFOLD,false,27.36,27.36,
EXHAUST,HEADER,false,27.36,27.36,
EXHAUST,LEAD HEADER PIPE,false,9.43,9.43,
EXHAUST,MAP SENSOR,false,9.43,9.43,
EXHAUST,MUFFLER PIPE,false,9.43,9.43,
EXHAUST,MUFFLER,false,14.15,14.15,
EXHAUST,MUFFLER HANGER,false,2.83,2.83,
EXHAUST,MUFFLER TIP,false,4.72,4.72,
EXHAUST,O2 SENSOR,false,4.72,4.72,
EXHAUST,TAIL PIPE,false,9.43,9.43,
EXHAUST,Y PIPE,false,9.43,9.43,
FUEL SYSTEM,ACCELERATOR CABLE,false,7.55,7.55,
FUEL SYSTEM,AIR CLEANER,false,9.43,9.43,
FUEL SYSTEM,AIR DUCT,false,2.83,2.83,
FUEL SYSTEM,AIR FILTER,false,2.83,2.83,
FUEL SYSTEM,AIR FLOW METER ASSY,false,20.75,20.75,
FUEL SYSTEM,AIR FLOW SENSOR,false,9.43,9.43,
FUEL SYSTEM,AIR INTAKE TUBE,false,9.43,9.43,
FUEL SYSTEM,CARBURETOR 2 BL,false,25.47,25.47,
FUEL SYSTEM,CARBURETOR 4 BL,false,25.47,25.47,
FUEL SYSTEM,CHARCOAL CANISTER,false,9.43,9.43,
FUEL SYSTEM,DIESEL INJECTION PUMP,false,75.47,75.47,
FUEL SYSTEM,DIESEL INJECTOR,false,18.86,18.86,
FUEL SYSTEM,DIESEL STEEL FUEL LINE,false,18.86,18.86,
FUEL SYSTEM,FUEL DISTRIBUTION,false,75.47,75.47,
FUEL SYSTEM,FUEL FILL DOOR,false,9.43,9.43,
FUEL SYSTEM,FUEL FILLER NECK,false,7.55,7.55,
FUEL SYSTEM,FUEL FILTER,false,2.83,2.83,
FUEL SYSTEM,FUEL INJECTION SPIDER,false,33.02,33.02,
FUEL SYSTEM,FUEL INJECTOR,false,4.72,4.72,
FUEL SYSTEM,FUEL LINE,false,4.72,4.72,
FUEL SYSTEM,FUEL PRESSURE REG,false,9.43,9.43,
FUEL SYSTEM,FUEL PUMP ELEC,false,27.36,27.36,
FUEL SYSTEM,FUEL PUMP MECHAN,false,9.43,9.43,
