Year,Make,Model,Row,Vehicle of Interest
1997,ACURA,CL,36,N
1987,ACURA,LEGEND,45,N
2005,ACURA,MDX,30,N
2003,ACURA,MDX,30,N
1998,ACURA,RL,36,N
2000,ACURA,TL,36,N
1998,ACURA,TL,36,N
2004,ACURA,TSX,38,N
2007,AUDI,A3,39,N
1999,AUDI,A4,32,N
2006,AUDI,A4,32,N
2004,AUDI,A4,36,N
2006,AUDI,A4,42,N
2002,AUDI,A6,43,N
2005,AUDI,A6,34,N
1997,AUDI,A6,32,N
1999,AUDI,A6,32,N
1999,BMW,3 SERIES,45,N
2001,BMW,3 SERIES,38,N
1999,BMW,3 SERIES,40,N
2003,BMW,3 SERIES,34,N
2001,BMW,3 SERIES,38,N
1998,BMW,5 SERIES,36,N
2007,BMW,5 SERIES,42,N
2004,BMW,X5,30,N
2002,BMW,X5,28,N
2002,BMW,X5,31,N
2000,BMW,X5,29,N
1994,BUICK,CENTURY,47,N
2002,BUICK,CENTURY,49,N
2002,BUICK,CENTURY,47,N
1992,BUICK,CENTURY,50,N
1993,BUICK,CENTURY,50,N
2002,BUICK,CENTURY,50,N
1999,BUICK,CENTURY,48,N
1999,BUICK,CENTURY,46,N
2009,BUICK,ENCLAVE,7,N
2007,BUICK,LACROSSE,50,N
2005,BUICK,LACROSSE,50,N
2006,BUICK,LACROSSE,44,N
2004,BUICK,LESABRE,49,N
2000,BUICK,LESABRE,49,N
2003,BUICK,LESABRE,44,N
1997,BUICK,LESABRE,44,N
2005,BUICK,LESABRE,44,N
1999,BUICK,LESABRE,44,N
2001,BUICK,LESABRE,46,N
1992,BUICK,LESABRE,44,N
2003,BUICK,LESABRE,46,N
2001,BUICK,LESABRE,46,N
2000,BUICK,LESABRE,46,N
2002,BUICK,LESABRE,51,N
2008,BUICK,LUCERNE,49,N
2004,BUICK,PARK AVENUE,50,N
2001,BUICK,PARK AVENUE,50,N
1998,BUICK,PARK AVENUE,50,N
1997,BUICK,PARK AVENUE,48,N
1993,BUICK,PARK AVENUE,44,N
2000,BUICK,REGAL,47,N
2011,BUICK,REGAL,48,N
2003,BUICK,REGAL,48,N
1994,BUICK,REGAL,44,N
2003,BUICK,REGAL,46,N
2004,BUICK,RENDEZVOUS,2,N
2002,BUICK,RENDEZVOUS,12,N
2003,BUICK,RENDEZVOUS,8,N
1996,BUICK,RIVIERA,46,N
1993,BUICK,RIVIERA,46,N
1956,BUICK,SUPER,63,N
2006,BUICK,TERRAZA,3,N
1990,CADILLAC,BROUGHAM,63,N
2007,CADILLAC,CTS,49,N
2003,CADILLAC,CTS,50,N
2004,CADILLAC,CTS,48,N
2003,CADILLAC,CTS,48,N
2005,CADILLAC,CTS,46,N
1977,CADILLAC,DEVILLE,63,N
2004,CADILLAC,DEVILLE,49,N
2003,CADILLAC,DEVILLE,48,N
1992,CADILLAC,DEVILLE,46,N
2008,CADILLAC,DTS,49,N
2006,CADILLAC,DTS,50,N
2006,CADILLAC,DTS,46,N
2003,CADILLAC,ESCALADE ESV,5,N
1994,CADILLAC,SEVILLE,47,N
1995,CADILLAC,SEVILLE,47,N
1997,CADILLAC,SEVILLE,50,N
2005,CADILLAC,SRX,12,N
1992,CHEVROLET,1500,10,N
1995,CHEVROLET,1500,11,N
1994,CHEVROLET,2500,9,N
1991,CHEVROLET,2500,9,N
1989,CHEVROLET,2500,12,N
1994,CHEVROLET,3500,2,N
2002,CHEVROLET,ASTRO,5,N
1996,CHEVROLET,ASTRO,3,N
2002,CHEVROLET,ASTRO,3,N
1992,CHEVROLET,ASTRO,10,N
2002,CHEVROLET,ASTRO,10,N
2004,CHEVROLET,ASTRO,6,N
2010,CHEVROLET,AVEO,50,N
2010,CHEVROLET,AVEO,44,N
2010,CHEVROLET,AVEO,44,N
1997,CHEVROLET,BLAZER,3,N
1991,CHEVROLET,BLAZER,2,N
1997,CHEVROLET,BLAZER,2,N
2002,CHEVROLET,BLAZER,3,N
1999,CHEVROLET,BLAZER,7,N
1999,CHEVROLET,BLAZER,9,N
1994,CHEVROLET,BLAZER,11,N
2000,CHEVROLET,BLAZER,6,N
2002,CHEVROLET,BLAZER,6,N
2002,CHEVROLET,BLAZER,1,N
1985,CHEVROLET,C30,12,N
1981,CHEVROLET,C30,8,N
1996,CHEVROLET,CAMARO,48,N
1996,CHEVROLET,CAMARO,44,N
2013,CHEVROLET,CAPTIVA SPORT,6,N
1996,CHEVROLET,CAVALIER,62,N
2001,CHEVROLET,CAVALIER,44,N
2004,CHEVROLET,CAVALIER,44,N
1998,CHEVROLET,CAVALIER,46,N
2004,CHEVROLET,CLASSIC,47,N
2005,CHEVROLET,CLASSIC,50,N
2005,CHEVROLET,CLASSIC,48,N
2009,CHEVROLET,COBALT,47,N
2007,CHEVROLET,COBALT,47,N
2010,CHEVROLET,COBALT,50,N
2006,CHEVROLET,COBALT,48,N
2005,CHEVROLET,COBALT,44,N
2006,CHEVROLET,COBALT,46,N
2008,CHEVROLET,COLORADO,8,N
2015,CHEVROLET,CRUZE,49,N
2015,CHEVROLET,CRUZE,49,N
2013,CHEVROLET,CRUZE,44,N
2014,CHEVROLET,CRUZE,48,N
2012,CHEVROLET,CRUZE,44,N
2013,CHEVROLET,CRUZE,44,N
2014,CHEVROLET,CRUZE,46,N
2011,CHEVROLET,CRUZE,46,N
2011,CHEVROLET,CRUZE,51,N
2016,CHEVROLET,EQUINOX,2,N
2014,CHEVROLET,EQUINOX,5,N
2006,CHEVROLET,EQUINOX,3,N
2014,CHEVROLET,EQUINOX,10,N
2008,CHEVROLET,EXPRESS,7,N
2002,CHEVROLET,EXPRESS,2,N
2000,CHEVROLET,EXPRESS,7,N
2008,CHEVROLET,EXPRESS,8,N
2008,CHEVROLET,HHR,47,N
2007,CHEVROLET,HHR,46,N
2004,CHEVROLET,IMPALA,47,N
2006,CHEVROLET,IMPALA,50,N
2006,CHEVROLET,IMPALA,50,N
2014,CHEVROLET,IMPALA,48,N
2004,CHEVROLET,IMPALA,44,N
2009,CHEVROLET,IMPALA,44,N
2007,CHEVROLET,IMPALA,44,N
2001,CHEVROLET,IMPALA,46,N
2008,CHEVROLET,IMPALA,46,N
2013,CHEVROLET,IMPALA,46,N
1997,CHEVROLET,LUMINA,48,N
1996,CHEVROLET,LUMINA,46,N
2000,CHEVROLET,LUMINA,51,N
2008,CHEVROLET,MALIBU,49,N
2012,CHEVROLET,MALIBU,47,N
2006,CHEVROLET,MALIBU,47,N
2005,CHEVROLET,MALIBU,47,N
2008,CHEVROLET,MALIBU,46,N
2012,CHEVROLET,MALIBU,50,N
2005,CHEVROLET,MALIBU,48,N
2005,CHEVROLET,MALIBU,48,N
2001,CHEVROLET,MALIBU,48,N
2008,CHEVROLET,MALIBU,48,N
2009,CHEVROLET,MALIBU,48,N
2009,CHEVROLET,MALIBU,48,N
2005,CHEVROLET,MALIBU,44,N
2001,CHEVROLET,MALIBU,46,N
1999,CHEVROLET,MALIBU,46,N
2004,CHEVROLET,MALIBU,46,N
2003,CHEVROLET,MALIBU,46,N
2009,CHEVROLET,MALIBU,51,N
2000,CHEVROLET,MALIBU,51,N
1998,CHEVROLET,MALIBU,46,N
2006,CHEVROLET,MALIBU MAXX,50,N
2006,CHEVROLET,MALIBU MAXX,44,N
2006,CHEVROLET,MALIBU MAXX,44,N
2001,CHEVROLET,MONTE CARLO,49,N
2000,CHEVROLET,PRIZM,46,N
2002,CHEVROLET,PRIZM,48,N
1997,CHEVROLET,S10 PU,2,N
1999,CHEVROLET,S10 PU,2,N
2002,CHEVROLET,S10 PU,2,N
1994,CHEVROLET,S10 PU,7,N
1998,CHEVROLET,S10 PU,6,N
2002,CHEVROLET,S10 PU,1,N
1989,CHEVROLET,S10 PU,8,N
2005,CHEVROLET,SILVERADO,10,N
2003,CHEVROLET,SILVERADO,11,N
2007,CHEVROLET,SILVERADO,11,N
1999,CHEVROLET,SILVERADO,12,N
2002,CHEVROLET,SILVERADO,8,N
2014,CHEVROLET,SONIC,48,N
2000,CHEVROLET,SUBURBAN,5,N
2004,CHEVROLET,SUBURBAN,7,N
1999,CHEVROLET,SUBURBAN,9,N
1995,CHEVROLET,SUBURBAN,10,N
2008,CHEVROLET,SUBURBAN,12,N
1998,CHEVROLET,SUBURBAN,6,N
2000,CHEVROLET,SUBURBAN,8,N
1996,CHEVROLET,TAHOE,12,N
