Year,Make,Model,Row,Vehicle of Interest
2001,ACURA,CL,88,N
1997,ACURA,CL,93,N
2001,ACURA,CL,94,N
1992,ACURA,INTEGRA,88,N
1999,ACURA,INTEGRA,77,N
1989,ACURA,INTEGRA,92,N
1998,ACURA,INTEGRA,74,N
1995,ACURA,INTEGRA,82,N
1995,ACURA,LEGEND,78,N
1987,ACURA,LEGEND,83,N
2009,ACURA,RDX,64,N
1996,ACURA,RL,91,N
1997,ACURA,SLX,68,N
2000,ACURA,TL,87,N
1999,ACURA,TL,73,N
2002,ACURA,TL,74,N
2008,ACURA,TL,75,N
2002,ACURA,TL,76,N
2003,ACURA,TL,80,N
2000,ACURA,TL,83,N
2004,ACURA,TL,84,N
2007,ACURA,TL,86,N
1966,AMC,RAMBLER,102,N
2007,AUDI,A4,91,N
2006,AUDI,A4,94,N
2007,AUDI,A4,95,N
2004,AUDI,A4,84,N
2006,AUDI,A4,84,N
2002,AUDI,A6,72,N
2006,AUDI,A6,73,N
2000,AUDI,A6,74,N
1999,AUDI,A6,83,N
2002,AUDI,TT,73,N
2002,AUDI,TT,80,N
2003,BMW,3 SERIES,76,N
2005,BMW,3 SERIES,93,N
2006,BMW,3 SERIES,91,N
2000,BMW,3 SERIES,91,N
2006,BMW,3 SERIES,73,N
2000,BMW,3 SERIES,93,N
2014,BMW,3 SERIES,72,N
2006,BMW,3 SERIES,74,N
2006,BMW,3 SERIES,76,N
2004,BMW,3 SERIES,80,N
2006,BMW,3 SERIES,80,N
2010,BMW,3 SERIES,84,N
2006,BMW,3 SERIES,85,N
2001,BMW,5 SERIES,88,N
1999,BMW,5 SERIES,79,N
2006,BMW,5 SERIES,82,N
2002,BMW,5 SERIES,81,N
2009,BMW,5 SERIES,83,N
2000,BMW,X5,65,N
2002,BMW,X5,66,N
2003,BMW,X5,68,N
2001,BMW,X5,68,N
1960,BUICK,CENTURY,102,N
1993,BUICK,CENTURY,34,N
1989,BUICK,CENTURY,35,N
2002,BUICK,CENTURY,37,N
2003,BUICK,CENTURY,37,N
2000,BUICK,CENTURY,38,N
2002,BUICK,CENTURY,38,N
1995,BUICK,CENTURY,39,N
1996,BUICK,CENTURY,39,N
2002,BUICK,CENTURY,40,N
2009,BUICK,ENCLAVE,25,N
2013,BUICK,ENCLAVE,19,N
2009,BUICK,ENCLAVE,20,N
2007,BUICK,LACROSSE,34,N
1977,BUICK,LESABRE,102,N
1970,BUICK,LESABRE,102,N
1988,BUICK,LESABRE,35,N
2000,BUICK,LESABRE,35,N
1997,BUICK,LESABRE,43,N
2000,BUICK,LESABRE,36,N
2002,BUICK,LESABRE,38,N
1997,BUICK,LESABRE,38,N
2001,BUICK,LESABRE,39,N
2003,BUICK,LESABRE,39,N
1998,BUICK,LESABRE,41,N
2006,BUICK,LUCERNE,38,N
2006,BUICK,LUCERNE,39,N
2002,BUICK,PARK AVENUE,35,N
1995,BUICK,PARK AVENUE,36,N
1995,BUICK,PARK AVENUE,36,N
1996,BUICK,REGAL,42,N
2004,BUICK,RENDEZVOUS,29,N
1998,BUICK,RIVIERA,34,N
1996,BUICK,RIVIERA,43,N
1983,BUICK,RIVIERA,41,N
1995,BUICK,ROADMASTER,40,N
1968,BUICK,SKYLARK,102,N
1962,BUICK,SKYLARK,102,N
2013,BUICK,VERANO,40,N
2003,CADILLAC,CTS,34,N
2008,CADILLAC,CTS,36,N
2003,CADILLAC,CTS,39,N
2005,CADILLAC,CTS,41,N
2002,CADILLAC,DEVILLE,35,N
1992,CADILLAC,DEVILLE,35,N
1997,CADILLAC,DEVILLE,43,N
1995,CADILLAC,DEVILLE,38,N
2004,CADILLAC,DEVILLE,41,N
1975,CADILLAC,ELDORADO,102,N
2005,CADILLAC,ESCALADE ESV,28,N
1981,CADILLAC,FLEETWOOD,37,N
1952,CADILLAC,SEDAN,102,N
1996,CADILLAC,SEVILLE,43,N
1999,CADILLAC,SEVILLE,41,N
2012,CADILLAC,SRX,20,N
1998,CHEVROLET,1500,25,N
1993,CHEVROLET,1500,26,N
1997,CHEVROLET,1500,29,N
1992,CHEVROLET,1500,18,N
1995,CHEVROLET,1500,19,N
1996,CHEVROLET,1500,19,N
1996,CHEVROLET,1500,20,N
1994,CHEVROLET,1500,21,N
1993,CHEVROLET,1500,23,N
1996,CHEVROLET,1500,23,N
1989,CHEVROLET,1500,22,N
1997,CHEVROLET,1500,22,N
1994,CHEVROLET,2500,21,N
1988,CHEVROLET,2500,24,N
1996,CHEVROLET,ASTRO,20,N
2000,CHEVROLET,ASTRO,18,N
2008,CHEVROLET,AVALANCHE,26,N
2002,CHEVROLET,AVALANCHE,28,N
2003,CHEVROLET,AVALANCHE,29,N
2005,CHEVROLET,AVALANCHE,29,N
2008,CHEVROLET,AVEO,36,N
2008,CHEVROLET,AVEO5,34,N
1998,CHEVROLET,BLAZER,25,N
2002,CHEVROLET,BLAZER,25,N
2003,CHEVROLET,BLAZER,25,N
1998,CHEVROLET,BLAZER,26,N
1996,CHEVROLET,BLAZER,27,N
2000,CHEVROLET,BLAZER,27,N
2002,CHEVROLET,BLAZER,27,N
1999,CHEVROLET,BLAZER,29,N
2000,CHEVROLET,BLAZER,28,N
2002,CHEVROLET,BLAZER,29,N
1999,CHEVROLET,BLAZER,18,N
2000,CHEVROLET,BLAZER,19,N
1994,CHEVROLET,BLAZER,20,N
1999,CHEVROLET,BLAZER,21,N
1997,CHEVROLET,BLAZER,23,N
1998,CHEVROLET,BLAZER,22,N
1976,CHEVROLET,CAMARO,102,N
1996,CHEVROLET,CAMARO,37,N
1996,CHEVROLET,CAMARO,39,N
1975,CHEVROLET,CAPRI,102,N
2014,CHEVROLET,CAPTIVA SPORT,26,N
2002,CHEVROLET,CAVALIER,43,N
1998,CHEVROLET,CAVALIER,43,N
2000,CHEVROLET,CAVALIER,36,N
2004,CHEVROLET,CAVALIER,36,N
2001,CHEVROLET,CAVALIER,36,N
1999,CHEVROLET,CAVALIER,37,N
2002,CHEVROLET,CAVALIER,40,N
2002,CHEVROLET,CAVALIER,40,N
2004,CHEVROLET,CAVALIER,40,N
2002,CHEVROLET,CAVALIER,41,N
1988,CHEVROLET,CELEBRITY,40,N
1969,CHEVROLET,CHEVELLE,102,N
1985,CHEVROLET,CITATION,34,N
2005,CHEVROLET,CLASSIC,37,N
2005,CHEVROLET,CLASSIC,37,N
2004,CHEVROLET,CLASSIC,40,N
2007,CHEVROLET,COBALT,34,N
2007,CHEVROLET,COBALT,35,N
2006,CHEVROLET,COBALT,43,N
2006,CHEVROLET,COBALT,43,N
2009,CHEVROLET,COBALT,38,N
2007,CHEVROLET,COBALT,39,N
2006,CHEVROLET,COBALT,39,N
2006,CHEVROLET,COBALT,40,N
2010,CHEVROLET,COBALT,41,N
2009,CHEVROLET,COBALT,41,N
1996,CHEVROLET,CORSICA,37,N
